FIPSCode,QB1a
2500377990,1
2500379985,5
2500380685,0
2500500520,1
2500502690,3
2500505280,0
2500516425,1
2500516950,1
2500520100,6
2500522130,0
2500523000,7
2500525240,6
2500538225,7
2500545000,7
2500546575,6
2500549970,2
2500556060,1
2500556375,0
2500560645,3
2500562430,3
2500568750,2
2500569170,10
2500577570,2
2500701585,0
2500713800,4
2500721150,1
2500726325,0
2500750390,3
2500769940,11
2500778235,9
2500901185,9
2500901465,13
2500905595,19
2500907420,1
2500916250,7
2500921850,3
2500925625,0
2500926150,20
2500927620,0
2500927900,4
2500929405,2
2500932310,6
2500934550,6
2500937490,5
2500937560,2
2500937995,14
2500938400,11
2500940430,0
2500940710,2
2500941095,3
2500943580,4
2500945175,7
2500945245,11
2500946365,8
2500952490,6
2500957880,11
2500958405,4
2500959105,8
2500959245,1
2500960015,4
2500968645,6
2500970150,4
2500974595,3
2500977150,2
2501102095,3
2501105560,0
2501109595,1
2501112505,1
2501114885,1
2501115200,0
2501116670,4
2501121780,0
2501125730,0
2501127025,4
2501129475,0
2501129650,0
2501135180,6
2501135285,1
2501142040,0
2501142285,2
2501145490,0
2501147835,0
2501151265,0
2501158335,0
2501161135,0
2501161905,6
2501168400,3
2501173265,0
2501174525,2
2501179110,0
2501300765,0
2501306085,0
2501308470,0
2501313485,0
2501313660,3
2501319645,5
2501326675,0
2501328075,0
2501330665,0
2501330840,3
2501336300,4
2501337175,2
2501342145,2
2501342530,0
2501352105,3
2501358650,0
2501365825,0
2501367000,10
2501370045,0
2501372390,1
2501376030,6
2501377850,4
2501379740,4
2501501325,39
2501504825,9
2501513590,1
2501516040,0
2501519330,2
2501526290,0
2501526535,2
2501527690,2
2501529265,0
2501531785,0
2501540990,0
2501546330,20
2501552560,0
2501554030,1
2501562745,2
2501564145,5
2501572880,0
2501576380,0
2501579915,1
2501582175,0
2501700380,12
2501701605,44
2501701955,1
2501702130,2
2501703005,1
2501704615,1
2501705070,31
2501705805,4
2501707350,4
2501709840,10
2501711000,186
2501711525,12
2501713135,10
2501715060,37
2501717475,2
2501717825,0
2501721990,0
2501724925,18
2501727480,4
2501730700,4
2501731085,4
2501731540,14
2501735215,44
2501735425,14
2501735950,8
2501737000,19
2501737875,16
2501738715,7
2501739625,3
2501739835,14
2501740115,2
2501743895,10
2501745560,103
2501748955,4
